year,flag_country_iso3c,flag_country_name,eez_sovereign_iso3c,eez_sovereign_name,fao_fishing_id,fao_major_fishing_area,length_category,nom_active_fishing_days,eff_active_fishing_days,sector
2012,TWN,Taiwan,TWN,Taiwan,61,"Pacific, Northwest",6-12m,145354361.6433,718106239.050714,Artisanal
2012,TWN,Taiwan,TWN,Taiwan,61,"Pacific, Northwest",Less than 6m,59721.7407489,295048.281688293,Artisanal
2012,TZA,Tanzania,TZA,Tanzania,47,"Atlantic, Southeast",6-12m,39205.172068794,193688.571483988,Artisanal
2012,TZA,Tanzania,TZA,Tanzania,47,"Atlantic, Southeast",Less than 6m,1448799.74395895,7157625.84287029,Artisanal
2012,TZA,Tanzania,TZA,Tanzania,51,"Indian Ocean, Western",6-12m,198727.909408206,981792.015087537,Artisanal
2012,TZA,Tanzania,TZA,Tanzania,51,"Indian Ocean, Western",Less than 6m,7534425.68716105,37222949.7102518,Artisanal
2012,UKR,Ukraine,UKR,Ukraine,37,Mediterranean and Black Sea,6-12m,2893962.80312284,14297285.069457,Artisanal
2012,UKR,Ukraine,UKR,Ukraine,37,Mediterranean and Black Sea,Less than 6m,1137718.50437644,5620765.32853618,Artisanal
2012,URY,Uruguay,URY,Uruguay,41,"Atlantic, Southwest",12-24m,2485291.77882,12278293.6270723,Artisanal
2012,URY,Uruguay,URY,Uruguay,41,"Atlantic, Southwest",24-50m,6536299.97265,32291826.2486369,Artisanal
2012,URY,Uruguay,URY,Uruguay,41,"Atlantic, Southwest",6-12m,647103.461805,3196939.03904882,Artisanal
2012,URY,Uruguay,URY,Uruguay,41,"Atlantic, Southwest",Less than 6m,132309.05061,653657.404234469,Artisanal
2012,URY,Uruguay,URY,Uruguay,41,"Atlantic, Southwest",Over 50m,7804382.0721,38556637.6856561,Artisanal
2012,USA,United States,USA,United States,18,Arctic Sea,12-24m,407475.212490445,2013083.67385611,Artisanal
2012,USA,United States,USA,United States,21,"Atlantic, Northwest",12-24m,162072931.178284,800702378.274505,Artisanal
2012,USA,United States,USA,United States,31,"Atlantic, Western Central",12-24m,96659865.6449865,477536771.519839,Artisanal
2012,USA,United States,USA,United States,61,"Pacific, Northwest",12-24m,1078628.40109404,5328837.57794432,Artisanal
2012,USA,United States,USA,United States,67,"Pacific, Northeast",12-24m,71421048.3692898,352847343.923469,Artisanal
2012,USA,United States,USA,United States,77,"Pacific, Eastern Central",12-24m,45680128.0663552,225677334.991738,Artisanal
2012,VCT,St. Vincent & Grenadines,VCT,St. Vincent & Grenadines,31,"Atlantic, Western Central",12-24m,21219.51498,104832.5342597,Artisanal
2012,VCT,St. Vincent & Grenadines,VCT,St. Vincent & Grenadines,31,"Atlantic, Western Central",6-12m,389421.86235,1923893.20702007,Artisanal
2012,VCT,St. Vincent & Grenadines,VCT,St. Vincent & Grenadines,31,"Atlantic, Western Central",Less than 6m,2630029.3596468,12993352.7325699,Artisanal
2012,VEN,Venezuela,VEN,Venezuela,31,"Atlantic, Western Central",12-24m,76429726.95168,377592135.195992,Artisanal
2012,VEN,Venezuela,VEN,Venezuela,31,"Atlantic, Western Central",24-50m,7328253.0972,36204378.1208034,Artisanal
2012,VEN,Venezuela,VEN,Venezuela,31,"Atlantic, Western Central",6-12m,44209672.47558,218412720.968157,Artisanal
2012,VEN,Venezuela,VEN,Venezuela,31,"Atlantic, Western Central",Less than 6m,11992859.886654,59249322.9050912,Artisanal
2012,VEN,Venezuela,VEN,Venezuela,31,"Atlantic, Western Central",Over 50m,7188933.6,35516086.4243613,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,57,"Indian Ocean, Eastern",12-24m,6319410.46971191,31220309.0028961,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,57,"Indian Ocean, Eastern",6-12m,8017254.86157915,39608310.8279059,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,61,"Pacific, Northwest",12-24m,43814877.7411182,216462283.714288,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,61,"Pacific, Northwest",6-12m,48802445.8457522,241102781.138213,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,71,"Pacific, Western Central",12-24m,86025224.0504699,424997567.379331,Artisanal
2012,VNM,Vietnam,VNM,Vietnam,71,"Pacific, Western Central",6-12m,99629617.7019327,492208484.541841,Artisanal
2012,VUT,Vanuatu,VUT,Vanuatu,71,"Pacific, Western Central",12-24m,725855.1285906,3586002.44667577,Artisanal
2012,VUT,Vanuatu,VUT,Vanuatu,71,"Pacific, Western Central",6-12m,155969.11716,770547.198347456,Artisanal
2012,VUT,Vanuatu,VUT,Vanuatu,71,"Pacific, Western Central",Less than 6m,3291321.729999,16260390.4163231,Artisanal
2012,WLF,Wallis & Futuna,WLF,Wallis & Futuna,71,"Pacific, Western Central",6-12m,2017213.78620216,9965808.99942784,Artisanal
2012,WLF,Wallis & Futuna,WLF,Wallis & Futuna,71,"Pacific, Western Central",Less than 6m,103476.588314148,511213.993333217,Artisanal
